"","From","Entry","Gene.Names","Annotation","Organism..ID.","Organism","Function..CC.","Cofactor","Tissue.specificity","Interacts.with","Protein.existence","Allergenic.Properties","Protein.families","Biotechnological.use","Redox.potential","uniprotkb"
"11","P19338","P19338","NCL","5","9606","Homo sapiens (Human)","FUNCTION: Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats. {ECO:0000269|PubMed:10393184}.",NA,NA,"Q9Y6D6; P49407; P32121; PRO_0000005794 [P39060]; Q00987; P35579; P19338; Q9UQ80; Q06710; P61586; P04637; P63104; Q9CR42; Q8AZK7; PRO_0000037577 [P27958]","Evidence at protein level",NA,NA,NA,NA,"P19338"
"12","O96013","O96013","PAK4 KIAA1142","5","9606","Homo sapiens (Human)","FUNCTION: Serine/threonine protein kinase that plays a role in a variety of different signaling pathways including cytoskeleton regulation, cell migration, growth, proliferation or cell survival. Activation by various effectors including growth factor receptors or active CDC42 and RAC1 results in a conformational change and a subsequent autophosphorylation on several serine and/or threonine residues. Phosphorylates and inactivates the protein phosphatase SSH1, leading to increased inhibitory phosphorylation of the actin binding/depolymerizing factor cofilin. Decreased cofilin activity may lead to stabilization of actin filaments. Phosphorylates LIMK1, a kinase that also inhibits the activity of cofilin. Phosphorylates integrin beta5/ITGB5 and thus regulates cell motility. Phosphorylates ARHGEF2 and activates the downstream target RHOA that plays a role in the regulation of assembly of focal adhesions and actin stress fibers. Stimulates cell survival by phosphorylating the BCL2 antagonist of cell death BAD. Alternatively, inhibits apoptosis by preventing caspase-8 binding to death domain receptors in a kinase independent manner. Plays a role in cell-cycle progression by controlling levels of the cell-cycle regulatory protein CDKN1A and by phosphorylating RAN. {ECO:0000269|PubMed:11278822, ECO:0000269|PubMed:11313478, ECO:0000269|PubMed:14560027, ECO:0000269|PubMed:15660133, ECO:0000269|PubMed:20507994, ECO:0000269|PubMed:20631255, ECO:0000269|PubMed:20805321, ECO:0000269|PubMed:26607847}.",NA,"TISSUE SPECIFICITY: Highest expression in prostate, testis and colon.","P60953; Q96EL1; P54274; O00401; P63104; P05067; P37840","Evidence at protein level",NA,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",NA,NA,"O96013"
"13","P19338","P19338","NCL","5","9606","Homo sapiens (Human)","FUNCTION: Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats. {ECO:0000269|PubMed:10393184}.",NA,NA,"Q9Y6D6; P49407; P32121; PRO_0000005794 [P39060]; Q00987; P35579; P19338; Q9UQ80; Q06710; P61586; P04637; P63104; Q9CR42; Q8AZK7; PRO_0000037577 [P27958]","Evidence at protein level",NA,NA,NA,NA,"P19338"
"14","P14404","P14404","Mecom Evi1 Mds1 Prdm3","5","10090","Mus musculus (Mouse)","FUNCTION: [Isoform 1]: Functions as a transcriptional regulator binding to DNA sequences in the promoter region of target genes and regulating positively or negatively their expression. Oncogene which plays a role in development, cell proliferation and differentiation. May also play a role in apoptosis through regulation of the JNK and TGF-beta signaling. Involved in hematopoiesis. {ECO:0000269|PubMed:15889140, ECO:0000269|PubMed:18619962, ECO:0000269|PubMed:19767769}.; FUNCTION: [Isoform 3]: Displays histone methyltransferase activity and monomethylates 'Lys-9' of histone H3 (H3K9me1) in vitro. Probably catalyzes the monomethylation of free histone H3 in the cytoplasm which is then transported to the nucleus and incorporated into nucleosomes where SUV39H methyltransferases use it as a substrate to catalyze histone H3 'Lys-9' trimethylation. Likely to be one of the primary histone methyltransferases along with PRDM16 that direct cytoplasmic H3K9me1 methylation. {ECO:0000269|PubMed:22939622}.",NA,NA,"P01101; Q9Z2D8; Q9Z2D8-1","Evidence at protein level",NA,NA,NA,NA,"P14404"
"15","P19338","P19338","NCL","5","9606","Homo sapiens (Human)","FUNCTION: Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats. {ECO:0000269|PubMed:10393184}.",NA,NA,"Q9Y6D6; P49407; P32121; PRO_0000005794 [P39060]; Q00987; P35579; P19338; Q9UQ80; Q06710; P61586; P04637; P63104; Q9CR42; Q8AZK7; PRO_0000037577 [P27958]","Evidence at protein level",NA,NA,NA,NA,"P19338"
"16","A2A935","A2A935","Prdm16 Kiaa1675 Mel1","5","10090","Mus musculus (Mouse)","FUNCTION: Binds DNA and functions as a transcriptional regulator (PubMed:18483224). Displays histone methyltransferase activity and monomethylates 'Lys-9' of histone H3 (H3K9me1) in vitro (PubMed:22939622). Probably catalyzes the monomethylation of free histone H3 in the cytoplasm which is then transported to the nucleus and incorporated into nucleosomes where SUV39H methyltransferases use it as a substrate to catalyze histone H3 'Lys-9' trimethylation (PubMed:22939622). Likely to be one of the primary histone methyltransferases along with MECOM/PRDM3 that direct cytoplasmic H3K9me1 methylation (PubMed:22939622). Functions in the differentiation of brown adipose tissue (BAT) which is specialized in dissipating chemical energy in the form of heat in response to cold or excess feeding while white adipose tissue (WAT) is specialized in the storage of excess energy and the control of systemic metabolism (PubMed:17618855, PubMed:18483224). Together with CEBPB, regulates the differentiation of myoblastic precursors into brown adipose cells (PubMed:18719582, PubMed:19641492). Functions as a repressor of TGF-beta signaling. {ECO:0000269|PubMed:17618855, ECO:0000269|PubMed:18483224, ECO:0000269|PubMed:18719582, ECO:0000269|PubMed:19641492, ECO:0000269|PubMed:22939622}.",NA,"TISSUE SPECIFICITY: Enriched in BAT compared to WAT. Detected in heart, lung, kidney and brain. Expressed in nuclei of cardiomyocytes. {ECO:0000269|PubMed:17618855, ECO:0000269|PubMed:23768516}.","Q5DW34-1","Evidence at protein level",NA,"PRDM16 family",NA,NA,"A2A935"
"17","P11387","P11387","TOP1","5","9606","Homo sapiens (Human)","FUNCTION: Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(3'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 5'-OH DNA strand. The free DNA strand then rotates around the intact phosphodiester bond on the opposing strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 5'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity). Regulates the alternative splicing of tissue factor (F3) pre-mRNA in endothelial cells. Involved in the circadian transcription of the core circadian clock component ARNTL/BMAL1 by altering the chromatin structure around the ROR response elements (ROREs) on the ARNTL/BMAL1 promoter. {ECO:0000250|UniProtKB:Q13472, ECO:0000269|PubMed:14594810, ECO:0000269|PubMed:16033260, ECO:0000269|PubMed:19168442, ECO:0000269|PubMed:22904072, ECO:0000269|PubMed:2833744}.",NA,"TISSUE SPECIFICITY: Endothelial cells. {ECO:0000269|PubMed:19168442}.","P00519; P01106; Q99801; P42768","Evidence at protein level",NA,"Type IB topoisomerase family",NA,NA,"P11387"
"18","A2A935","A2A935","Prdm16 Kiaa1675 Mel1","5","10090","Mus musculus (Mouse)","FUNCTION: Binds DNA and functions as a transcriptional regulator (PubMed:18483224). Displays histone methyltransferase activity and monomethylates 'Lys-9' of histone H3 (H3K9me1) in vitro (PubMed:22939622). Probably catalyzes the monomethylation of free histone H3 in the cytoplasm which is then transported to the nucleus and incorporated into nucleosomes where SUV39H methyltransferases use it as a substrate to catalyze histone H3 'Lys-9' trimethylation (PubMed:22939622). Likely to be one of the primary histone methyltransferases along with MECOM/PRDM3 that direct cytoplasmic H3K9me1 methylation (PubMed:22939622). Functions in the differentiation of brown adipose tissue (BAT) which is specialized in dissipating chemical energy in the form of heat in response to cold or excess feeding while white adipose tissue (WAT) is specialized in the storage of excess energy and the control of systemic metabolism (PubMed:17618855, PubMed:18483224). Together with CEBPB, regulates the differentiation of myoblastic precursors into brown adipose cells (PubMed:18719582, PubMed:19641492). Functions as a repressor of TGF-beta signaling. {ECO:0000269|PubMed:17618855, ECO:0000269|PubMed:18483224, ECO:0000269|PubMed:18719582, ECO:0000269|PubMed:19641492, ECO:0000269|PubMed:22939622}.",NA,"TISSUE SPECIFICITY: Enriched in BAT compared to WAT. Detected in heart, lung, kidney and brain. Expressed in nuclei of cardiomyocytes. {ECO:0000269|PubMed:17618855, ECO:0000269|PubMed:23768516}.","Q5DW34-1","Evidence at protein level",NA,"PRDM16 family",NA,NA,"A2A935"
"19","P11387","P11387","TOP1","5","9606","Homo sapiens (Human)","FUNCTION: Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(3'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 5'-OH DNA strand. The free DNA strand then rotates around the intact phosphodiester bond on the opposing strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 5'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity). Regulates the alternative splicing of tissue factor (F3) pre-mRNA in endothelial cells. Involved in the circadian transcription of the core circadian clock component ARNTL/BMAL1 by altering the chromatin structure around the ROR response elements (ROREs) on the ARNTL/BMAL1 promoter. {ECO:0000250|UniProtKB:Q13472, ECO:0000269|PubMed:14594810, ECO:0000269|PubMed:16033260, ECO:0000269|PubMed:19168442, ECO:0000269|PubMed:22904072, ECO:0000269|PubMed:2833744}.",NA,"TISSUE SPECIFICITY: Endothelial cells. {ECO:0000269|PubMed:19168442}.","P00519; P01106; Q99801; P42768","Evidence at protein level",NA,"Type IB topoisomerase family",NA,NA,"P11387"
"20","O14777","O14777","NDC80 HEC HEC1 KNTC2","5","9606","Homo sapiens (Human)","FUNCTION: Acts as a component of the essential kinetochore-associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity (PubMed:9315664, PubMed:12351790, PubMed:14654001, PubMed:14699129, PubMed:15062103, PubMed:15235793, PubMed:15239953, PubMed:15548592, PubMed:16732327, PubMed:30409912). Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore (PubMed:15548592, PubMed:30409912). The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules (PubMed:23085020). Plays a role in chromosome congression and is essential for the end-on attachment of the kinetochores to spindle microtubules (PubMed:25743205, PubMed:23891108). {ECO:0000269|PubMed:12351790, ECO:0000269|PubMed:14654001, ECO:0000269|PubMed:14699129, ECO:0000269|PubMed:15062103, ECO:0000269|PubMed:15235793, ECO:0000269|PubMed:15239953, ECO:0000269|PubMed:15548592, ECO:0000269|PubMed:16732327, ECO:0000269|PubMed:23085020, ECO:0000269|PubMed:23891108, ECO:0000269|PubMed:25743205, ECO:0000269|PubMed:30409912, ECO:0000269|PubMed:9315664}.",NA,NA,"Q9Y2J4; P18848; P48047; Q9Y5K8; Q8TC20-4; Q9P1Z2; Q8TD31-3; P51946; O75909; Q9H211; Q9H3R5; Q96MT8-3; Q9UBC2-3; Q8IYI6; Q8IZT9; Q08379; Q96CS2; O14964; O75146-2; Q8IY31; Q9BVG8-5; Q6P597; Q7Z3Y8; P04259; O95678; Q8TBB1; Q9NPJ6; P55081; O14777; Q9GZM8; Q9BZD4; Q96KQ4; Q6ZNE9; Q86XK3; Q96ES7; Q9HBM1; O75558; Q9UBB9; Q6I9Y2; Q15025; Q05BL1; Q13625-3; P33981-1; P40222; Q8N6Y0; Q8N1B4; Q9Y3C0; Q8N720; O95229","Evidence at protein level",NA,"NDC80/HEC1 family",NA,NA,"O14777"
"21","P11387","P11387","TOP1","5","9606","Homo sapiens (Human)","FUNCTION: Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(3'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 5'-OH DNA strand. The free DNA strand then rotates around the intact phosphodiester bond on the opposing strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 5'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity). Regulates the alternative splicing of tissue factor (F3) pre-mRNA in endothelial cells. Involved in the circadian transcription of the core circadian clock component ARNTL/BMAL1 by altering the chromatin structure around the ROR response elements (ROREs) on the ARNTL/BMAL1 promoter. {ECO:0000250|UniProtKB:Q13472, ECO:0000269|PubMed:14594810, ECO:0000269|PubMed:16033260, ECO:0000269|PubMed:19168442, ECO:0000269|PubMed:22904072, ECO:0000269|PubMed:2833744}.",NA,"TISSUE SPECIFICITY: Endothelial cells. {ECO:0000269|PubMed:19168442}.","P00519; P01106; Q99801; P42768","Evidence at protein level",NA,"Type IB topoisomerase family",NA,NA,"P11387"
"22","Q86VY4","Q86VY4","TSPYL5 KIAA1750","5","9606","Homo sapiens (Human)","FUNCTION: Involved in modulation of cell growth and cellular response to gamma radiation probably via regulation of the Akt signaling pathway. Involved in regulation of p53/TP53. Suppresses p53/TP53 protein levels and promotes its ubiquitination; the function is dependent on USP7 and independent on MDM2. Proposed to displace p53/TP53 from interaction with USP7. {ECO:0000269|PubMed:20079711, ECO:0000269|PubMed:21170034}.",NA,NA,"Q93009","Evidence at protein level",NA,"Nucleosome assembly protein (NAP) family",NA,NA,"Q86VY4"
"23","P11387","P11387","TOP1","5","9606","Homo sapiens (Human)","FUNCTION: Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(3'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 5'-OH DNA strand. The free DNA strand then rotates around the intact phosphodiester bond on the opposing strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 5'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity). Regulates the alternative splicing of tissue factor (F3) pre-mRNA in endothelial cells. Involved in the circadian transcription of the core circadian clock component ARNTL/BMAL1 by altering the chromatin structure around the ROR response elements (ROREs) on the ARNTL/BMAL1 promoter. {ECO:0000250|UniProtKB:Q13472, ECO:0000269|PubMed:14594810, ECO:0000269|PubMed:16033260, ECO:0000269|PubMed:19168442, ECO:0000269|PubMed:22904072, ECO:0000269|PubMed:2833744}.",NA,"TISSUE SPECIFICITY: Endothelial cells. {ECO:0000269|PubMed:19168442}.","P00519; P01106; Q99801; P42768","Evidence at protein level",NA,"Type IB topoisomerase family",NA,NA,"P11387"
